email,password,company_id,restaurant_latitude,restaurant_longitude,restaurant_id,menu_id
ryan.franklin.500523@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38299,33.6152469,-112.179737,65183,128637
paul.solis.930465@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38300,38.263793,-85.700243,65193,128638
brandon.ingram.285825@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38301,33.6152469,-112.179737,65203,128639
christina.stevens.429623@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38302,33.9828796,-118.4016266,65213,128640
jacob.nolan.40794@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38303,36.157077,-86.853827,65223,128641
joshua.larsen.135410@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38304,38.263793,-85.700243,65233,128642
valerie.mcguire.554083@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38305,43.4731793,-72.4967532,65243,128643
kimberly.kelly.34300@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38306,41.76556000000001,-72.473091,65253,128644
damon.thomas.135026@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38307,43.4731793,-72.4967532,65263,128645
anna.evans.103603@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38308,36.157077,-86.853827,65273,128646
andre.white.696827@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38309,38.263793,-85.700243,65283,128647
lisa.wright.371059@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38310,38.10476999999999,-122.193849,65293,128648
aaron.adams.387573@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38311,44.492953,-73.101883,65303,128649
karen.sanchez.346424@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38312,38.10476999999999,-122.193849,65313,128650
jodi.wilson.812834@donotsendemail.test,ecea8a62db211c9a1bfc53d569b9e1205f2c4996,38313,41.76556000000001,-72.473091,65323,128651
